IP|First Packet|Final Packet|Port Numbers|Packets
24:77:03:7c:ea:dc|1473264207.205815|1472487272.185521|[50077, 50138, 50222, 50280, 50337, 50443, 50477, 50498, 50529, 50127, 50274, 49961, 49980, 50142, 50154, 50165, 50178, 50191, 50203, 50234, 50254]|849
38:0b:40:ef:85:41|1473672742.734195|1473673206.217679|[58803, 44854, 58556, 33957, 42104, 55095, 45869, 34274, 49127, 35262, 52361, 41566, 43201]|52
