IP|First Packet|Final Packet|Port Numbers|Packets
38:0b:40:ef:85:41|1466080461.886412|1473087129.015700|[59129, 45525, 43661, 49441, 43921, 43504, 53623, 59645, 37429, 49386, 34033]|223
00:b5:6d:06:08:ba|1466080463.297577|1471954589.449000|[80, 443]|6332
